mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_82821,CC1C2CN3CC1(O)C23,2.25869,1.98714,1.46035,2.4415,77.34,-0.204,0.0671,0.2711,988.0799,0.17124,-403.085667,-403.077581,-403.076637,-403.117813,32.13
gdb_31877,c1c(ncc(n1)O)CO,4.94386,1.02007,0.85008,1.3113,71.87,-0.2362,-0.0426,0.1936,1273.9521,0.113857,-453.995116,-453.987193,-453.986249,-454.028224,29.063
gdb_63507,CC1(CC1(C=O)C=O)C,2.10179,1.6075,1.07186,1.485,79.1,-0.2506,-0.0478,0.2028,1161.8906,0.155746,-423.045939,-423.036312,-423.035368,-423.07971,35.679
gdb_17645,CN(C1CC1)C(=O)N,3.91089,1.44665,1.1627,3.6437,69.76,-0.218,0.06,0.278,1053.8448,0.154095,-381.136185,-381.127536,-381.126591,-381.169627,31.81
gdb_58942,CC(O)C12CN3CC1C23,3.44941,1.23717,1.15647,1.912,77.8,-0.2247,0.0668,0.2915,1150.6127,0.170876,-403.066242,-403.057816,-403.056872,-403.09934,32.723
gdb_75356,CC1=CCC2OC=NC12,2.75637,1.76692,1.21934,1.486,77.01,-0.2394,0.0146,0.254,1032.4114,0.150008,-401.987732,-401.98027,-401.979326,-402.019789,28.797
gdb_45454,O=C1CC2CCC2C1=O,2.61331,1.66284,1.1902,4.679,71.87,-0.2286,-0.0885,0.1402,1041.4736,0.136489,-421.852186,-421.844597,-421.843653,-421.884886,28.89
gdb_23462,ON=C1CC=CC2CC12,3.12164,1.34569,1.0326,0.7545,81.42,-0.2253,0.0116,0.2368,1155.2528,0.148887,-401.913982,-401.90619,-401.905246,-401.946286,30.91
gdb_77509,CC12CC(C)(C=C1)C2O,2.46957,1.55705,1.39917,1.4187,83.04,-0.2331,0.0037,0.2367,1079.3242,0.181753,-387.07194,-387.063216,-387.062272,-387.104339,35.279
gdb_73705,CC12OCOC3C1CC23,2.68125,2.07163,1.40141,1.5274,74.26,-0.2464,0.0972,0.3436,951.9349,0.16113,-422.980847,-422.973799,-422.972855,-423.011838,29.263
gdb_10872,CC1C2NC1(C)C2=O,3.1657,1.96474,1.55896,2.0056,69.64,-0.2409,0.0065,0.2473,880.9878,0.1416,-363.819442,-363.811631,-363.810687,-363.851199,29.32
gdb_78175,CC1NC(=O)C2C(O)C12,2.35535,1.65681,1.30713,3.7517,71.77,-0.2421,0.0119,0.254,1035.8023,0.149034,-439.114412,-439.106417,-439.105473,-439.146617,31.5
gdb_105516,CCC1(CCC1)C(C)O,1.70535,1.61357,1.09212,1.4686,88.25,-0.2587,0.071,0.3296,1295.8101,0.227849,-389.487004,-389.476498,-389.475554,-389.521913,40.224
gdb_93214,CC1COC(=O)C(C)=C1,2.80818,1.34722,0.95186,4.5658,79.41,-0.261,-0.0392,0.2218,1249.4798,0.159189,-423.085742,-423.076885,-423.075941,-423.119191,33.029
gdb_42821,O=C1C2CC3(CN3)C1O2,3.1323,1.49973,1.33233,3.5099,68.6,-0.2431,-0.0188,0.2243,984.843,0.125238,-437.83583,-437.828805,-437.827861,-437.867356,27.667
gdb_68486,CC12CC(COCC1)O2,2.76863,1.66771,1.29775,0.964,77.73,-0.2371,0.0833,0.3204,1053.5125,0.18418,-424.224264,-424.21641,-424.215466,-424.255956,32.115
gdb_49252,C1C=C(COC=N1)C=O,3.37671,1.21806,0.92128,2.313,75.22,-0.2547,-0.0646,0.1901,1202.7631,0.124684,-437.896385,-437.888339,-437.887394,-437.929858,28.903
gdb_27589,c1c(ncnc1N)C#N,3.79505,1.22697,0.92736,5.9367,75.09,-0.2592,-0.0699,0.1894,1150.8922,0.092044,-411.86502,-411.857622,-411.856678,-411.896943,27.382
gdb_20916,CCn1c(=O)ocn1,3.52076,1.92941,1.35147,2.6834,58.97,-0.2425,-0.0037,0.2388,886.2378,0.108043,-415.900949,-415.893729,-415.892785,-415.933218,25.458
gdb_90620,CC1OC2C1C1CC21O,4.04514,1.21032,1.13446,0.889,74.75,-0.236,0.0714,0.3074,1140.6591,0.158579,-422.964399,-422.956339,-422.955395,-422.996494,32.136
gdb_84949,CC1C=CCCCC=C1,1.94013,1.65762,1.1815,0.3444,92.7,-0.2347,0.0221,0.2569,1199.9962,0.207762,-351.154633,-351.145528,-351.144584,-351.188436,35.28
gdb_104464,C1COCCC1(CO)O,3.12245,1.16944,1.05074,3.085,74.2,-0.2377,0.0583,0.2959,1219.4556,0.183236,-461.367526,-461.358554,-461.35761,-461.400658,35.08
gdb_40767,C1CN1C1CCC11CC1,2.8002,1.3285,1.08343,1.1155,86.64,-0.2234,0.0884,0.3118,1217.7076,0.194748,-367.151162,-367.142557,-367.141613,-367.184604,33.681
gdb_1400,NC(CC#N)C#N,7.03993,1.47308,1.26905,0.9885,54.96,-0.2841,-0.0074,0.2767,860.1507,0.09046,-319.573727,-319.566389,-319.565445,-319.605346,25.146
gdb_67552,OC12C3OC3C1CC2=O,2.7178,1.75494,1.43342,2.5564,64.55,-0.2434,-0.0348,0.2086,919.9199,0.110652,-457.706005,-457.698465,-457.69752,-457.738085,28.914
gdb_123706,C1C2OC3=CNN=C3C12,4.11434,1.62437,1.26897,0.7115,70.65,-0.2068,0.0195,0.2263,940.8081,0.116238,-416.793993,-416.787735,-416.786791,-416.824385,25.676
gdb_122783,C#CC(=O)OCCCO,5.42325,0.56839,0.51946,1.405,73.76,-0.2741,-0.0409,0.2332,2009.8841,0.132632,-458.945513,-458.935241,-458.934297,-458.982393,34.811
gdb_50950,O=CCC(CC#C)C#N,3.07658,0.85352,0.71642,3.2778,75.72,-0.2669,-0.0425,0.2244,1518.3836,0.120893,-400.733814,-400.72396,-400.723016,-400.769959,33.691
gdb_33903,N#CC12CC1C1CCC21,3.79863,1.27074,1.15306,4.5342,80.82,-0.2548,0.015,0.2698,1098.3419,0.149523,-364.778666,-364.771372,-364.770427,-364.810275,29.31
gdb_52971,CC#CC12CC1C1OC21,4.68959,0.90312,0.84362,1.9229,83.6,-0.2134,0.0324,0.2457,1405.1084,0.134045,-384.587824,-384.579341,-384.578396,-384.622871,31.331
gdb_109583,CCC1C(C)C(C)C1C,2.38646,1.15465,0.9571,0.099,95.23,-0.2687,0.0691,0.3378,1441.9877,0.251257,-353.560387,-353.549444,-353.5485,-353.595521,41.823
gdb_48214,C1CC1N(C=O)C2CC2,1.86063,1.64013,0.9783,3.7954,80.84,-0.2277,0.0268,0.2546,1249.8045,0.171085,-403.133725,-403.124802,-403.123857,-403.16901,33.248
gdb_82581,CC1C2CC3=CCC1C23,2.20371,2.16857,1.68348,0.7707,87.23,-0.212,0.004,0.216,948.835,0.184698,-349.90851,-349.901216,-349.900271,-349.939619,30.667
gdb_68270,CC12CC(O1)C2(O)C#N,2.49012,1.49969,1.45302,3.5248,69.46,-0.277,0.0125,0.2896,995.6991,0.122459,-437.832886,-437.824731,-437.823787,-437.865257,31.338
gdb_76036,CC1(C=O)C(O)C1C#N,2.67795,1.16808,1.04085,3.5041,71.85,-0.2714,-0.0471,0.2243,1181.39,0.12125,-437.892831,-437.883235,-437.882291,-437.927522,33.511
gdb_4210,c1cc(cnc1)F,5.86549,2.64196,1.82151,1.9081,54.15,-0.259,-0.0328,0.2262,619.2353,0.080595,-347.456674,-347.451683,-347.450738,-347.48542,18.976
gdb_107424,CCC12CN1CC1NC21,2.7,1.45878,1.33322,2.1892,81.28,-0.2185,0.0727,0.2911,1097.0849,0.184391,-383.227174,-383.21908,-383.218136,-383.259619,32.407
gdb_121725,C(COC(=O)NC=N)O,5.02623,0.69744,0.63697,3.9913,69.57,-0.2597,-0.0062,0.2535,1710.4305,0.135041,-492.310402,-492.300518,-492.299574,-492.347118,33.592
gdb_105469,OCC1(CCC#N)CN1,2.84571,0.87056,0.728,4.5506,76.36,-0.2625,0.0369,0.2994,1539.0971,0.158739,-419.189633,-419.179824,-419.17888,-419.225438,34.837
gdb_96247,OC1CCCC=CC=C1,2.35967,1.48223,1.03628,1.4585,87.4,-0.2249,-0.0214,0.2035,1203.6304,0.18475,-387.096809,-387.088391,-387.087447,-387.129513,33.58
gdb_44137,N=C1OC2C(C3CO3)C12,3.62322,1.11456,1.03004,1.8528,70.81,-0.2651,0.0107,0.2759,1177.4963,0.12407,-437.821696,-437.814156,-437.813212,-437.854516,28.383
gdb_74131,CC1=CC(=O)NC(=N)C1,1.97241,1.73535,0.93363,2.4128,79.72,-0.2511,-0.047,0.2041,1215.469,0.137156,-418.080407,-418.071997,-418.071053,-418.114989,31.057
gdb_93556,OC1CNC(=O)NC=C1,3.41541,1.21712,0.94077,2.2202,72.35,-0.2221,0.0024,0.2245,1194.7013,0.138999,-455.189079,-455.180971,-455.180027,-455.221772,31.122
gdb_32109,CNc1cccc(c1)N,3.58492,1.10151,0.84991,1.4893,90.23,-0.1815,0.0214,0.203,1359.6052,0.161645,-382.134863,-382.126174,-382.12523,-382.167776,33.915
gdb_103343,CN1C2CC1C2(C)CO,2.82114,1.34063,1.08777,1.8719,83.19,-0.2003,0.0618,0.2621,1202.396,0.192958,-404.242383,-404.232897,-404.231953,-404.276453,36.402
gdb_31741,CNc1nc(co1)OC,4.79354,0.96501,0.81461,2.2172,73.26,-0.1825,0.0386,0.2212,1395.1087,0.135824,-455.16373,-455.154481,-455.153537,-455.198536,32.243
gdb_82052,CC1N2CC2C11COC1,2.81332,1.42762,1.22565,0.9602,77.66,-0.2344,0.0645,0.2989,1100.7758,0.171101,-403.076218,-403.067946,-403.067002,-403.109251,31.653
gdb_38133,C1C2C=CC3CCC3C12,2.66359,1.81134,1.33591,0.3371,86.62,-0.221,0.0247,0.2457,1028.8026,0.186263,-349.946231,-349.939018,-349.938074,-349.977634,30.203
gdb_53790,CC(C)(C)C(=O)C(=N)N,2.44691,1.29805,1.04748,1.9318,81.01,-0.2461,-0.0527,0.1934,1255.0951,0.180089,-420.443642,-420.433035,-420.432091,-420.478677,39.79
gdb_67435,OC12C3OC1CC23C=O,2.7242,1.51561,1.24992,3.8251,67.24,-0.2428,-0.0237,0.2191,1006.5554,0.111162,-457.692087,-457.684526,-457.683581,-457.724213,28.733
gdb_59330,CC(O)C1NC(=O)C=C1,3.56823,1.07623,0.86614,4.5134,74.98,-0.2422,-0.0256,0.2166,1307.7494,0.147414,-439.132487,-439.123592,-439.122648,-439.166203,33.254
gdb_121944,CCOCC(O)C1CO1,3.33441,0.76497,0.67714,1.2754,76.2,-0.2581,0.0815,0.3396,1725.1709,0.180262,-461.329366,-461.319144,-461.3182,-461.365699,36.254
gdb_49649,O=CC1C2CN3CC2C13,4.04264,1.38459,1.30179,3.1279,75.29,-0.2312,-0.0279,0.2033,1006.8009,0.149773,-401.890323,-401.883519,-401.882575,-401.921717,27.298
gdb_58868,CC(C)C12OC1CC2C,2.51029,1.39332,1.06796,1.7277,85.16,-0.2438,0.0775,0.3213,1254.7296,0.203867,-388.270599,-388.260725,-388.25978,-388.305165,37.512
gdb_61680,CC(OC1COC1)C=O,4.62083,0.78203,0.69781,1.569,72.52,-0.2543,-0.0345,0.2198,1571.9463,0.156033,-460.134512,-460.124816,-460.123872,-460.170605,33.527
gdb_110200,CC12CC(C)(O1)C2CO,2.23899,1.52726,1.08359,1.3378,79.75,-0.2282,0.0727,0.3009,1200.417,0.179906,-424.1713,-424.161596,-424.160652,-424.205358,36.668
gdb_11376,CCC1=CCC(C)C1,4.23519,1.19047,1.01744,0.2114,84.79,-0.2238,0.0341,0.2579,1258.764,0.200609,-313.099899,-313.090984,-313.09004,-313.133577,33.373
gdb_62716,CC1(C)C2C=CC(=O)C12,2.73354,1.42754,1.25962,3.6874,82.39,-0.2343,-0.0502,0.184,1094.6888,0.159029,-385.917882,-385.909562,-385.908618,-385.950277,32.605
gdb_37041,C1C23CCC12CCCC3,2.6521,1.64842,1.35436,0.4586,88.26,-0.2259,0.0825,0.3084,1079.3609,0.209363,-351.149628,-351.141982,-351.141038,-351.181197,32.33
gdb_59568,CC(O)C1CC2CC2O1,3.3207,1.16306,1.15382,1.7922,77.65,-0.2416,0.0824,0.324,1199.2971,0.182921,-424.218617,-424.20991,-424.208966,-424.252373,33.814
gdb_112560,CCC1OC(C)(C)C1C,2.32411,1.18103,1.00289,1.5875,88.86,-0.2366,0.0768,0.3134,1395.7854,0.22659,-389.499426,-389.488583,-389.487639,-389.534978,40.758
gdb_99206,CC(=O)CCC(=O)CO,4.96916,0.61213,0.56846,2.7575,73.87,-0.2483,-0.0142,0.2341,1921.9531,0.154246,-460.194658,-460.183679,-460.182735,-460.233007,36.857
gdb_41906,C1OC2COC1CCC2,2.13768,1.97282,1.7118,0.4706,76.64,-0.2436,0.0747,0.3183,961.5262,0.18667,-424.234685,-424.227381,-424.226437,-424.266027,30.041
gdb_15388,CCOC1CC1C#N,2.93844,1.52921,1.11892,4.1159,69.98,-0.2609,0.0293,0.2901,1087.0421,0.141103,-363.858013,-363.849493,-363.848549,-363.891659,30.233
gdb_119734,COCC12CCC1CO2,3.11974,1.11487,0.98067,1.2555,79.04,-0.2396,0.0725,0.3121,1313.9994,0.18178,-424.181233,-424.172128,-424.171184,-424.215794,33.406
gdb_59877,CC(C)CC(=O)C1CN1,4.04564,0.77571,0.71723,2.3123,84.23,-0.2554,-0.023,0.2324,1674.2071,0.192673,-404.353321,-404.343061,-404.342117,-404.389489,37.069
gdb_110180,OCC1C(OC1=O)C#C,2.82989,1.14999,0.89675,3.3919,68.3,-0.2801,-0.0063,0.2739,1252.848,0.110886,-457.742349,-457.733692,-457.732748,-457.776218,31.128
gdb_118716,CC1(CCO)C2CCN12,3.854,0.89224,0.85572,2.2029,82.11,-0.2256,0.0829,0.3085,1453.6404,0.193996,-404.29775,-404.288291,-404.287347,-404.332021,35.898
gdb_87031,CN1CC1(C#N)C(C)=O,2.15015,1.57496,1.07604,0.9867,75.14,-0.2581,-0.042,0.2161,1153.0146,0.132998,-418.006879,-417.997313,-417.996368,-418.041669,33.948
gdb_115720,COC1COC1C(C)O,2.6754,1.15112,0.98916,2.4203,75.24,-0.2473,0.0615,0.3088,1319.987,0.180604,-461.328194,-461.318238,-461.317294,-461.363428,36.012
gdb_108665,CCC1=C(C)CCC1C,1.75209,1.5116,0.98784,0.1657,96.36,-0.2154,0.0355,0.251,1384.2437,0.228444,-352.393037,-352.382475,-352.381531,-352.428815,39.236
gdb_49212,C1CC(=O)NC=C1C=O,4.62261,1.0014,0.84073,2.5945,78.05,-0.2412,-0.0582,0.183,1285.4086,0.125771,-437.959758,-437.951916,-437.950972,-437.992478,29.218
gdb_104921,COC1(CC1(C)N)C#N,2.1029,1.56718,1.07257,4.4282,77.7,-0.2508,0.0288,0.2796,1186.6784,0.156972,-419.190943,-419.18085,-419.179905,-419.225407,36.93
gdb_63675,CC1(O)CC1OCC#C,2.40121,1.23894,0.99912,0.6275,77.09,-0.2393,0.0307,0.27,1255.7074,0.154909,-422.957513,-422.947435,-422.946491,-422.992738,37.204
gdb_89578,OC1CC2(C1)OCC=C2,3.78391,1.21087,1.08236,1.2698,78.1,-0.2249,0.0207,0.2456,1159.5422,0.159287,-423.015557,-423.007496,-423.006552,-423.048153,31.609
gdb_8927,NC(C#N)C(O)CO,3.9007,1.1882,1.08558,6.9425,61.34,-0.2631,0.0253,0.2884,1100.2059,0.129722,-417.048409,-417.03929,-417.038346,-417.082145,32.334
gdb_64720,OC1(CC#C)CC2CC12,3.97804,1.08632,1.03704,1.2166,80.74,-0.2514,0.0415,0.2929,1216.0388,0.15764,-385.827618,-385.818891,-385.817947,-385.860788,34.241
gdb_44253,O=C1CC2C1CCC2=O,3.03083,1.43429,1.15848,1.5708,71.95,-0.2467,-0.0367,0.21,1059.145,0.136128,-421.867668,-421.86003,-421.859086,-421.900476,29.079
gdb_28021,Cc1nc(co1)CC#C,6.02386,0.88428,0.77847,0.9807,76.61,-0.2331,0.0085,0.2417,1421.1213,0.123035,-400.759179,-400.750439,-400.749495,-400.793365,31.364
gdb_76275,CC1C(N)C(=O)OC1=N,2.38338,1.64053,1.11168,2.5285,69.84,-0.2598,-0.0173,0.2425,1091.3956,0.136635,-455.196205,-455.187593,-455.186649,-455.229575,31.886
gdb_115624,CCC1OCC11CN1C,2.56559,1.17687,0.9844,1.796,83.2,-0.2331,0.076,0.3091,1336.3512,0.19278,-404.300922,-404.291264,-404.29032,-404.3355,35.811
gdb_56363,CC(C#C)(C#N)C1CC1,1.97205,1.46237,1.24229,3.8994,81.3,-0.2865,0.0115,0.298,1143.5396,0.145288,-364.775941,-364.766417,-364.765472,-364.810043,35.381
gdb_108625,CC1=C(CO)CN2CC12,2.41597,1.40375,1.02161,2.4161,82.4,-0.2099,0.0135,0.2234,1224.1064,0.170836,-403.126842,-403.117829,-403.116884,-403.160747,33.711
gdb_92561,CC1OC2OCC3C1C23,2.68595,1.75293,1.6492,2.7207,73.07,-0.2505,0.0754,0.3259,940.3409,0.161862,-423.028204,-423.021058,-423.020114,-423.059792,28.703
gdb_58999,CC(O)C1=CC2CC2C1,3.6177,1.02415,1.00176,1.3565,84.85,-0.2198,0.0222,0.242,1314.5977,0.182696,-387.089821,-387.080947,-387.080003,-387.123535,34.418
gdb_24352,c1c2c(c[nH]1)OCCC2,3.43294,1.54506,1.10565,1.5992,78.36,-0.1824,0.0479,0.2302,1075.4495,0.151567,-401.991516,-401.984327,-401.983383,-402.022892,29.13
gdb_13936,CC1COC11COC1,3.37686,1.79806,1.45884,2.5675,67.1,-0.2476,0.0673,0.3149,919.8977,0.153336,-384.900518,-384.892706,-384.891762,-384.933256,28.562
gdb_120955,OCCC1CC2CC1C2,4.23657,0.84078,0.81684,1.3303,85.47,-0.2612,0.0816,0.3429,1509.0425,0.208093,-388.277319,-388.268701,-388.267756,-388.310892,33.79
gdb_107525,COC12CC1OC2C#C,2.22204,1.5734,1.11889,2.2095,74.39,-0.2357,0.0151,0.2508,1122.6444,0.132903,-421.724568,-421.715725,-421.714781,-421.758274,32.699
gdb_85185,CN1CC(=O)C1C1CO1,2.48833,1.44656,1.04772,3.1695,73.2,-0.232,-0.028,0.204,1173.5478,0.145537,-439.044273,-439.035498,-439.034554,-439.078213,31.795
gdb_63427,CC1(CC(C1)CC#N)C,3.76724,0.79592,0.78202,4.1309,86.83,-0.2957,0.0359,0.3317,1572.3841,0.193243,-367.233925,-367.224132,-367.223187,-367.268805,36.838
gdb_49947,O=CC1CC1(C#N)C#N,2.29172,1.26568,0.98399,3.8447,69.76,-0.2882,-0.0703,0.2179,1174.6932,0.087668,-415.617785,-415.609328,-415.608384,-415.651462,29.44
gdb_41816,C1CC2CCCCC1O2,2.22581,1.86917,1.4002,1.3187,83.27,-0.2382,0.0709,0.3091,1059.8081,0.210757,-388.320009,-388.312368,-388.311423,-388.351829,31.573
gdb_41578,C1OC2C1C1COC2C1,2.90512,1.81306,1.76069,3.0591,72.74,-0.2356,0.0776,0.3131,890.8077,0.163247,-423.006365,-422.999973,-422.999029,-423.037099,26.767
gdb_41618,C1CC2=CC3COC3C12,3.37722,1.59267,1.33803,1.153,81.52,-0.2277,0.0155,0.2432,1003.6647,0.162051,-385.851806,-385.84496,-385.844016,-385.882913,28.045
